date,total,pop,pop_share
2022-08-17,59090284,,17.83
2022-08-16,64451349,,19.45
2022-08-15,62090898,,18.73
2022-08-14,24239930,,7.31
2022-08-13,34906040,,10.53
2022-08-12,21135393,,6.38
2022-08-11,23099920,,6.97
2022-08-10,25748842,,7.77
2022-08-09,54645491,,16.49
2022-08-08,68915710,,20.79
2022-08-07,105382879,,31.79
2022-08-06,89683265,,27.06
2022-08-05,77778731,,23.47
2022-08-04,93154753,,28.11
2022-08-03,124245979,,37.49
2022-08-02,108908604,,32.86
2022-08-01,30801095,,9.29
2022-07-31,19096459,,5.76
2022-07-30,16744199,,5.05
2022-07-29,28382035,,8.56
2022-07-28,49909119,,15.06
2022-07-27,48478553,,14.63
2022-07-26,39462743,,11.91
2022-07-25,74332197,,22.43
2022-07-24,109966901,,33.18
2022-07-23,108571057,,32.76
2022-07-22,104504877,,31.53
2022-07-21,139042902,,41.95
2022-07-20,154646517,,46.66
2022-07-19,105668812,,31.88
2022-07-18,65694765,331449281.0,19.82
2022-07-17,51148288,331449281.0,15.43
2022-07-16,55978632,331449281.0,16.89
